CrossName,Examination.Date,Dead.Flies,Empty.Larvae
2B,11/26/2013,26,117
2C,11/26/2013,3,181
2A,11/26/2013,38,47
2D,11/26/2013,5,141
2E,11/26/2013,24,72
2F,11/26/2013,1,152
X1,12/2/2013,3,152
Y1,12/2/2013,8,115
Z1,12/2/2013,5,103
2AA,12/2/2013,55,30
2BB,12/2/2013,21,93
2DD,12/2/2013,14,132
2EE,12/2/2013,60,60
2FF,12/2/2013,2,140
Y2,12/3/2013,8,98
2EEE,12/3/2013,20,39
2AAA,12/11/2013,26,16
2BBB,12/11/2013,13,71
2DDD,12/11/2013,2,53
2FFF,12/11/2013,1,27
3AA,12/11/2013,49,8
X2,12/11/2013,0,147
Z2,12/11/2013,0,131
Z3,12/17/2013,8,115
Y3,12/17/2013,5,106
X3,12/17/2013,13,148
3AAA,12/17/2013,18,84
2EEEE,12/17/2013,16,83
2DDDD,12/17/2013,5,98
2BBBB,12/17/2013,7,80
2AAAA,12/17/2013,28,90
Z4,12/27/2013,1,70
Y4,12/27/2013,1,79
X4,12/27/2013,1,61
3AAAA,12/27/2013,24,120
2EEEEE,12/27/2013,17,77
2DDDDD,12/27/2013,7,72
2BBBBB,12/27/2013,13,129
2AAAA,12/27/2013,37,80
3F,2/3/2014,0,88
4F,2/3/2014,0,80
W1,2/3/2014,0,68
V1,2/3/2014,1,106
2H,2/5/2014,1,107
3H,2/5/2014,11,92
2I,2/5/2014,5,104
2J,2/5/2014,0,70
2K,2/5/2014,128,0
2L,2/5/2014,112,0
3C,2/6/2014,0,119
4C,2/6/2014,0,131
2II,2/10/2014,6,80
2KK,2/10/2014,135,0
2LL,2/10/2014,112,1
2JJ,2/10/2014,3,40
2HH,2/10/2014,0,49
3HH,2/10/2014,3,75
3FF,2/10/2014,2,172
W2,2/10/2014,4,58
V2,2/10/2014,0,88
3CC,2/12/2014,1,59
4FF,2/12/2014,17,109
4CC,2/12/2014,3,216
3FFF,2/19/2014,2,119
4FFF,2/19/2014,14,132
V3,2/19/2014,6,62
3CCC,2/19/2014,0,110
4CCC,2/19/2014,0,83
2HHH,2/19/2014,6,53
3HHH,2/19/2014,12,89
2JJJ,2/19/2014,0,20
2KKK,2/19/2014,108,0
2LLL,2/19/2014,130,5
2KKKK,2/26/2014,127,0
2LLLL,2/26/2014,102,0