CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Ser/Sb,Notes
Star1,24B-Gal4/Tm3-sb,27554,1,Star,1,7/15/2013,7/25/2013,Female,12,10,
Star1,24B-Gal4/Tm3-sb,27554,1,Star,1,7/15/2013,7/25/2013,Male,10,8,
Heart1,24B-Gal4/Tm3-sb,27551,1,Heart,1,7/15/2013,7/25/2013,Female,10,10,
Heart1,24B-Gal4/Tm3-sb,27551,1,Heart,1,7/15/2013,7/25/2013,Male,17,10,
Spiral1,24B-Gal4,28989/Tm3-sb,1,Spiral,1,7/15/2013,7/25/2013,Female,9,13,
Spiral1,24B-Gal4,28989/Tm3-sb,1,Spiral,1,7/15/2013,7/25/2013,Male,9,18,
SunSun1,24B-Gal4/Tm3-sb,34340,1,Sun,2,7/15/2013,7/25/2013,Female,8,7,
SunSun1,24B-Gal4/Tm3-sb,34340,1,Sun,2,7/15/2013,7/25/2013,Male,11,4,
Planet1,24B-Gal4/Tm3-sb,25975,1,Planet,1,7/15/2013,7/25/2013,Female,10,10,
Planet1,24B-Gal4/Tm3-sb,25975,1,Planet,1,7/15/2013,7/25/2013,Male,10,7,
Star1,24B-Gal4/Tm3-sb,27554,1,Star,1,7/15/2013,7/27/2013,Female,19,15,
Star1,24B-Gal4/Tm3-sb,27554,1,Star,1,7/15/2013,7/27/2013,Male,20,12,
StarStar1,24B-Gal4/Tm3-sb,27554,1,Star,2,7/15/2013,7/26/2013,Female,9,8,
StarStar1,24B-Gal4/Tm3-sb,27554,1,Star,2,7/15/2013,7/26/2013,Male,6,11,
StarStar1,24B-Gal4/Tm3-sb,27554,1,Star,2,7/15/2013,7/28/2013,Female,18,11,
StarStar1,24B-Gal4/Tm3-sb,27554,1,Star,2,7/15/2013,7/28/2013,Male,9,8,
StarStar2,24B-Gal4/Tm3-sb,27554,2,Star,2,7/18/2013,7/30/2013,Female,15,23,
StarStar2,24B-Gal4/Tm3-sb,27554,2,Star,2,7/18/2013,7/30/2013,Male,12,21,
Heart1,24B-Gal4/Tm3-sb,27551,1,Heart,1,7/15/2013,7/27/2013,Female,24,8,
Heart1,24B-Gal4/Tm3-sb,27551,1,Heart,1,7/15/2013,7/27/2013,Male,20,9,
HeartHeart1,24B-Gal4/Tm3-sb,27551,1,Heart,2,7/15/2013,7/28/2013,Female,20,14,
HeartHeart1,24B-Gal4/Tm3-sb,27551,1,Heart,2,7/15/2013,7/28/2013,Male,22,10,
Spiral1,24B-Gal4,28989/Tm3-sb,1,Spiral,1,7/15/2013,7/27/2013,Female,2,12,
Spiral1,24B-Gal4,28989/Tm3-sb,1,Spiral,1,7/15/2013,7/27/2013,Male,3,24,
SpiralSpiral1,24B-Gal4,28989/Tm3-sb,1,Spiral,2,7/15/2013,7/26/2013,Female,6,6,
SpiralSpiral1,24B-Gal4,28989/Tm3-sb,1,Spiral,2,7/15/2013,7/26/2013,Male,9,12,
Moon1,24B-Gal4/Tm3-sb,34900,1,Moon,1,7/15/2013,7/26/2013,Female,9,23,
Moon1,24B-Gal4/Tm3-sb,34900,1,Moon,1,7/15/2013,7/26/2013,Male,5,8,
Moon1,24B-Gal4/Tm3-sb,34900,1,Moon,1,7/15/2013,7/28/2013,Female,9,15,
Moon1,24B-Gal4/Tm3-sb,34900,1,Moon,1,7/15/2013,7/28/2013,Male,12,20,
Moon2,24B-Gal4/Tm3-sb,34900,2,Moon,1,7/18/2013,7/30/2013,Female,15,12,
Moon2,24B-Gal4/Tm3-sb,34900,2,Moon,1,7/18/2013,7/30/2013,Male,9,15,
MoonMoon1,24B-Gal4/Tm3-sb,34900,1,Moon,2,7/19/2013,7/29/2013,Female,12,27,
MoonMoon1,24B-Gal4/Tm3-sb,34900,1,Moon,2,7/19/2013,7/29/2013,Male,10,28,
Sun1,24B-Gal4/Tm3-sb,34340,1,Sun,1,7/15/2013,7/26/2013,Female,12,9,
Sun1,24B-Gal4/Tm3-sb,34340,1,Sun,1,7/15/2013,7/26/2013,Male,15,5,
Sun2,24B-Gal4/Tm3-sb,34340,2,Sun,1,7/18/2013,7/30/2013,Female,12,17,
Sun2,24B-Gal4/Tm3-sb,34340,2,Sun,1,7/18/2013,7/30/2013,Male,26,11,
SunSun2,24B-Gal4/Tm3-sb,34340,2,Sun,2,7/18/2013,7/30/2013,Female,26,13,
SunSun2,24B-Gal4/Tm3-sb,34340,2,Sun,2,7/18/2013,7/30/2013,Male,20,9,
Planet1,24B-Gal4/Tm3-sb,25975,1,Planet,1,7/15/2013,7/27/2013,Female,22,20,
Planet1,24B-Gal4/Tm3-sb,25975,1,Planet,1,7/15/2013,7/27/2013,Male,23,8,
Planet2,24B-Gal4/Tm3-sb,25975,2,Planet,1,7/19/2013,7/30/2013,Female,19,10,
Planet2,24B-Gal4/Tm3-sb,25975,2,Planet,1,7/19/2013,7/30/2013,Male,11,15,
PlanetPlanet1,24B-Gal4/Tm3-sb,25975,1,Planet,2,7/15/2013,7/27/2013,Female,21,24,
PlanetPlanet1,24B-Gal4/Tm3-sb,25975,1,Planet,2,7/15/2013,7/27/2013,Male,14,10,
PlanetPlanet2,24B-Gal4/Tm3-sb,25975,2,Planet,2,7/19/2013,7/30/2013,Female,17,12,
PlanetPlanet2,24B-Gal4/Tm3-sb,25975,2,Planet,2,7/19/2013,7/30/2013,Male,13,6,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/26/2013,Female,8,7,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/26/2013,Male,13,5,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/28/2013,Female,19,14,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/28/2013,Male,20,16,
Wave2,24B-Gal4/Tm3-sb,34073,2,Wave,1,7/18/2013,7/30/2013,Female,19,15,
Wave2,24B-Gal4/Tm3-sb,34073,2,Wave,1,7/18/2013,7/30/2013,Male,18,17,
WaveWave1,24B-Gal4/Tm3-sb,34073,1,Wave,2,7/15/2013,7/27/2013,Female,32,14,
WaveWave1,24B-Gal4/Tm3-sb,34073,1,Wave,2,7/15/2013,7/27/2013,Male,42,20,
WaveWave2,24B-Gal4/Tm3-sb,34073,2,Wave,2,7/19/2013,7/30/2013,Female,23,13,
WaveWave2,24B-Gal4/Tm3-sb,34073,2,Wave,2,7/19/2013,7/30/2013,Male,15,14,
Heart2,24B-Gal4/Tm3-sb,27551,2,Heart,1,7/18/2013,7/30/2013,Female,23,13,
Heart2,24B-Gal4/Tm3-sb,27551,2,Heart,1,7/18/2013,7/30/2013,Male,22,9,
HeartHeart2,24B-Gal4/Tm3-sb,27551,2,Heart,2,7/19/2013,7/30/2013,Female,25,10,
HeartHeart2,24B-Gal4/Tm3-sb,27551,2,Heart,2,7/19/2013,7/30/2013,Male,17,10,
SpiralSpiral2,24B-Gal4,28989/Tm3-sb,2,Spiral,2,7/18/2013,7/31/2013,Female,3,7,
SpiralSpiral2,24B-Gal4,28989/Tm3-sb,2,Spiral,2,7/18/2013,7/31/2013,Male,7,22,
MoonMoon2,24B-Gal4/Tm3-sb,34900,2,Moon,2,7/19/2013,7/30/2013,Female,15,17,
MoonMoon2,24B-Gal4/Tm3-sb,34900,2,Moon,2,7/19/2013,7/30/2013,Male,9,23,
Sun2,24B-Gal4/Tm3-sb,34340,2,Sun,1,7/18/2013,8/1/2013,Female,7,7,
Sun2,24B-Gal4/Tm3-sb,34340,2,Sun,1,7/18/2013,8/1/2013,Male,9,11,
SunSun2,24B-Gal4/Tm3-sb,34340,2,Sun,2,7/18/2013,7/31/2013,Female,10,16,
SunSun2,24B-Gal4/Tm3-sb,34340,2,Sun,2,7/18/2013,7/31/2013,Male,14,16,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/30/2013,Female,10,9,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/30/2013,Male,12,6,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/20/2013,Male,0,3,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/20/2013,Female,3,5,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/23/2013,Male,0,3,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/23/2013,Female,2,9,
SpiralSpiralSpiral3,24B-Gal4,28989/Tm3-sb,3,Spiral,3,,8/23/2013,Male,0,4,
SpiralSpiralSpiral3,24B-Gal4,28989/Tm3-sb,3,Spiral,3,,8/23/2013,Female,1,5,